full_name,email,nhs_number,postcode,date_of_birth,DEMO_RIDAGEYR,BMX_BMXBMI,GHB_LBXGH
Person 0,person0@example.org,400 500 6000,SW1A 1AA,1960-04-10,40,24,5.2
Person 1,person1@example.org,401 501 6001,SW1A 1AA,1961-04-11,41,25,5.3
Person 2,person2@example.org,402 502 6002,SW1A 1AA,1962-04-12,42,26,5.4
Person 3,person3@example.org,403 503 6003,SW1A 1AA,1963-04-13,43,27,5.5
Person 4,person4@example.org,404 504 6004,SW1A 1AA,1964-04-14,44,28,5.6
Person 5,person5@example.org,405 505 6005,SW1A 1AA,1965-04-15,45,29,5.7
Person 6,person6@example.org,406 506 6006,SW1A 1AA,1966-04-16,46,30,5.8
Person 7,person7@example.org,407 507 6007,SW1A 1AA,1967-04-17,47,31,5.9
Person 8,person8@example.org,408 508 6008,SW1A 1AA,1968-04-18,48,32,6.0
Person 9,person9@example.org,409 509 6009,SW1A 1AA,1969-04-10,49,33,6.1
Person 10,person10@example.org,410 510 6010,SW1A 1AA,1970-04-11,50,34,6.2
Person 11,person11@example.org,411 511 6011,SW1A 1AA,1971-04-12,51,35,6.3
Person 12,person12@example.org,412 512 6012,SW1A 1AA,1972-04-13,52,36,6.4
Person 13,person13@example.org,413 513 6013,SW1A 1AA,1973-04-14,53,37,6.5
Person 14,person14@example.org,414 514 6014,SW1A 1AA,1974-04-15,54,38,6.6
Person 15,person15@example.org,415 515 6015,SW1A 1AA,1975-04-16,55,24,6.7
Person 16,person16@example.org,416 516 6016,SW1A 1AA,1976-04-17,56,25,6.8
Person 17,person17@example.org,417 517 6017,SW1A 1AA,1977-04-18,57,26,6.9
Person 18,person18@example.org,418 518 6018,SW1A 1AA,1978-04-10,58,27,7.0
Person 19,person19@example.org,419 519 6019,SW1A 1AA,1979-04-11,59,28,7.1
